"Sdlg","Species","Fire","FirePatch","Ht16_meas2016.cm","Ht2017.cm","Patch","Elevation","Nearby_Easting","Nearby_Northing","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","HTLCB","Dia2016","Dia2015","Ht2015.meas2016","Note1_2016","Note2_2016","Note3_Light","Datasheet1_2016","Light_File","DIFN","return","Date1_2016","Date2_2016","personel2","personel1","Time1","Time2","Photo","Datasheet2_2016","ShrubSpp03","Cov1.3","Ht1.3","Years","Date2017","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","Notes2017","shrubarea3"
"2","PIPO","CLVD","CLVD-N",143,186,"N",1626,72432,4303788,18,2,3.44,6.7,0,1.18,1.25,NA,"","","","Data_Sheet_CLVD_N_May_30",4,0.031,"0",2016-05-30,2016-07-26,"VF HH","CT ",09:45:00,08:01:00,"1","NA","ARPA",1310,115.572519083969,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","30.7","32.299999999999997","14.5","6.6","7.5","height measured wrong in 2016, very bendy",151400
"4","PIPO","CLVD","CLVD-N",88,87,"N",1626,724321,4303791,18,2,1.85,3.09,0,0.73,0.8,NA,"","","","Data_Sheet_CLVD_N_May_30_2",18,0.366,"0",2016-05-30,2016-07-26,"VF HH","CT ",13:43:00,08:01:00,"1","NA","ARPA",1450,115.51724137931,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","16.600000000000001","16.600000000000001","3.2","6.1","3.1","basal diameters measured with diameter tape",167500
"5","PIPO","CLVD","CLVD-N",191,217,"N",1626,724321,4303791,14,2,6.19,19,0,1.93,2.55,NA,"","","","Data_Sheet_CLVD_N_May_30_2",21,0.406,"0",2016-05-30,2016-07-26,"VF HH","CT ",13:43:00,08:01:00,"1","NA","ARPA",980,89.5408163265306,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","79","79","12.5","24.8","20.5",NA,87750
"6","ABCO","CLVD","CLVD-N",9.45,14,"N",1626,724392,4303842,22,85,0.3,1.92,0,0.27,0.37,NA,"right under log","right under log","","Data_Sheet_CLVD_N_May_30_2",16,0.296,"0",2016-05-30,2016-07-26,"VF HH","CT ",13:43:00,08:01:00,"1","NA","ARPA",1180,125.466101694915,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","3.7","4.0999999999999996",NA,NA,"2.1","leader died, no vertical growth measurements for 2017 and 2016",148050
"8","PIPO","CLVD","CLVD-N",110,229,"N",1626.5,724392,4303842,0,0,7.2,16,0,1.74,2.45,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",13,0.909,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","CEIN",1100,106.363636363636,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","79","85","11.5","15","17.5","height measured incorrectly in 2016",117000
"9","ABCO","CLVD","CLVD-N",146,175,"N",1626.5,724392,4303842,0,0,3.52,18,0,0.92,1.32,NA," missing slope and aspect, could use nearby","error in file 26? DIFN reported is file 15","","Data_Sheet_CLVD_N_May_31",0,0.283,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",1440,132.083333333333,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","40.299999999999997","39.799999999999997","11.5","23.3","17.7",NA,190200
"10","PIPO","CLVD","CLVD-N",163,185,"N",1626.5,724392,4303842,0,0,5.86,23,0,2.25,2.69,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",27,0.325,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",1190,116.302521008403,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","69.8","64.5","14","25","23.3",NA,138400
"11","PIPO","CLVD","CLVD-N",27,27,"N",1626.5,724392,4303842,0,0,0.9,2.64,0,0.42,0.43,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",24,0.245,"0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",1300,101.076923076923,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","4.3","4.5999999999999996","1.8","3.7","3",NA,131400
"12","ABCO","CLVD","CLVD-N",123,157,"N",1632,724392,4303842,0,0,4.24,16.3,0,0,0,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",28,0.966,"0",2016-05-31,9999-09-09,"0","CT ",16:22:00,01:00:00,"0","NA","CEPR",810,10.5925925925926,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","52.8","56.2","17.2","17.7","17",NA,8580
"13","ABCO","CLVD","CLVD-N",11.8,15,"N",1632,724392,4303842,0,0,0.65,2.1,0,0,0,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",0,0,"0",2016-05-31,9999-09-09,"0","CT ",16:22:00,01:00:00,"0","NA","CEPR",810,10.5925925925926,24,NA,"Shrubs_Summer17_Aug30_1231_done","Cleveland Lines - N","DONE","4.0999999999999996","3.9","0.6","1.4","1.2","appears browsed",8580
